,發生時間,發生地點,死亡受傷人數,車種,經度,緯度,data_id
0,109年01月01日 14時15分00秒,高雄市小港區沿海二路山明783燈桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.372052,22.541141,109a10
1,109年01月01日 17時58分00秒,新北市新店區祥和路 / 新北市新店區車子路,死亡1;受傷1,普通重型-機車;大型重型2(250-550C.C.)-機車,121.504547,24.957629999999998,109a11
2,109年01月01日 21時57分00秒,臺中市潭子區東寶里雅潭路二段75號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.69586299999999,24.216056,109a12
3,109年01月02日 05時40分00秒,彰化縣和美鎮地潭里彰新路6段182號前0.0公尺前,死亡1;受傷1,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.508579,24.140725,109a13
4,109年01月02日 08時40分00秒,嘉義縣梅山鄉永興村台3線271.2公里,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.55904,23.565369,109a14
5,109年01月02日 09時00分00秒,雲林縣斗六市大同路34號前,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小貨車(含客、貨兩用),120.541703,23.710441,109a15
6,109年01月02日 16時40分00秒,臺中市沙鹿區竹林里中山路前0.0公尺,死亡2;受傷2,租賃車-小客車;普通重型-機車;乘客-人;乘客-人,120.58021000000001,24.242317,109a16
7,109年01月02日 19時21分00秒,新北市板橋區板城路85之1號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車;動力機械-其他車,121.448327,24.996772,109a17
8,109年01月02日 22時44分00秒,新北市八里區龍米路2段前0.0公尺,死亡1;受傷0,普通重型-機車,121.435911,25.156852,109a18
9,109年01月03日 02時38分00秒,新北市中和區景平路 / 新北市中和區景安路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.50500600000001,24.993558,109a19
10,109年01月03日 06時10分29秒,臺南市下營區開化里區道南61線口 / 臺南市下營區省道臺19甲線,死亡1;受傷0,自用-小客車,120.27207,23.206481,109a110
11,109年01月03日 07時43分13秒,桃園市龍潭區上華里中正路上華段81號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小客車,121.22303799999999,24.853138,109a111
12,109年01月03日 08時56分00秒,臺北市南港區研究院路2段 / 臺北市南港區研究院路2段,死亡1;受傷0,自用-小客車;行人-人,121.61594199999999,25.04445,109a112
13,109年01月03日 09時10分00秒,桃園市平鎮區快速路一段P276梁柱處附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.23937,24.900388,109a113
14,109年01月03日 10時29分00秒,臺中市南屯區文山里保安一街前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小貨車(含客、貨兩用),120.612124,24.14566,109a114
15,109年01月03日 14時17分00秒,臺中市南屯區文山里向上路五段前0.0公尺,死亡2;受傷1,營業用-曳引車;自用-小貨車(含客、貨兩用);乘客-人,120.608047,24.151047,109a115
16,109年01月03日 16時13分00秒,桃園市大溪區石園路463巷(電桿130號前),死亡1;受傷0,普通重型-機車;營業用-曳引車,121.261532,24.870444,109a116
17,109年01月04日 06時25分00秒,屏東縣屏東市博愛路附近 / 屏東縣屏東市崇武路附近,死亡1;受傷0,自用-小客車;行人-人,120.480737,22.684497,109a117
18,109年01月04日 11時03分25秒,苗栗縣造橋鄉朝楊村台13甲線6.8公里與產業道路口,死亡1;受傷0,自用-大貨車;大型重型1(550C.C.以上)-機車,120.85278999999998,24.626757,109a118
19,109年01月04日 17時52分00秒,臺中市后里區墩南里南村路333巷42之1號前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.71198000000001,24.291860999999997,109a119
20,109年01月04日 22時10分30秒,苗栗縣通霄鎮國道3號 152公里700.0公尺處南側向外側,死亡1;受傷1,營業用-大貨車;自用-小客車;自用-小客車;乘客-人,120.703645,24.489687,109a120
21,109年01月05日 02時30分52秒,新竹縣芎林鄉文山路800號前,死亡1;受傷0,自用-小客車,121.07468100000001,24.783651000000003,109a121
22,109年01月05日 03時02分00秒,屏東縣枋山鄉台1線 457公里500.0公尺處北側,死亡2;受傷0,自用-小客車;乘客-人,120.67759199999999,22.222673999999998,109a122
23,109年01月05日 11時44分00秒,臺中市北屯區舊社里松竹路一段前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.707586,24.182433,109a123
24,109年01月05日 12時51分00秒,臺中市北屯區同榮里環中路一段前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.677701,24.200796,109a124
25,109年01月05日 13時15分00秒,臺東縣長濱鄉台11線 94公里800.0公尺處北側向路肩,死亡1;受傷1,自用-小客車;乘客-人,121.41785,23.25106,109a125
26,109年01月05日 14時26分00秒,南投縣名間鄉員集路前0.0公尺,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人,120.691822,23.831218,109a126
27,109年01月05日 19時48分00秒,桃園市平鎮區國道1號 65公里100.0公尺處北側向中線,死亡1;受傷4,自用-小客車;計程車-小客車;乘客-人;乘客-人;乘客-人,121.19622700000001,24.950325,109a127
28,109年01月05日 23時58分00秒,臺南市永康區東橋里東橋五路口 / 臺南市永康區東橋里東橋十街口,死亡1;受傷0,自用-小客車;普通重型-機車;乘客-人,120.23458600000001,23.023211,109a128
29,109年01月06日 04時42分35秒,臺南市安平區安北路口 / 臺南市安平區古堡街口,死亡1;受傷0,自用-小客車;腳踏自行車-慢車;乘客-人,120.16101699999999,23.002872,109a129
30,109年01月06日 08時50分00秒,高雄市旗津區旗津三路 / 高雄市旗津區安樂巷,死亡1;受傷0,普通重型-機車;自用-小客車,120.2691,22.60898,109a130
31,109年01月06日 11時25分00秒,臺北市中正區中華路1段 / 臺北市中正區漢口街1段,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.509371,25.04522,109a131
32,109年01月06日 17時00分00秒,新竹市香山區竹香北路221040桿,死亡1;受傷0,普通重型-機車,120.937206,24.800548000000003,109a132
33,109年01月06日 19時18分00秒,臺南市新化區全興里竹子腳226之1號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.295289,23.026142,109a133
34,109年01月06日 19時18分00秒,新北市新店區北新路1段 / 新北市新店區力行路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.54036200000002,24.964582999999998,109a134
35,109年01月07日 01時24分00秒,高雄市大寮區188縣道 / 高雄市大寮區光明路2段,死亡1;受傷1,普通重型-機車;自用-小客車;自用-小客車;普通重型-機車,120.420023,22.588886,109a135
36,109年01月07日 04時05分00秒,高雄市岡山區岡山南路 / 高雄市岡山區阿公店路2段,死亡1;受傷1,自用-小客車;普通重型-機車,120.297178,22.7845,109a136
37,109年01月07日 17時40分00秒,高雄市美濃區中山路1段 / 高雄市美濃區泰安路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.5,22.88656,109a137
38,109年01月08日 01時48分00秒,屏東縣枋寮鄉台1線 431公里400.0公尺處,死亡1;受傷0,普通重型-機車;營業用-全聯結車,120.590574,22.397563,109a138
39,109年01月08日 07時17分00秒,南投縣南投市南崗一路口 / 南投縣南投市大庄路口,死亡1;受傷2,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人,120.68435900000001,23.900542,109a139
40,109年01月08日 07時30分00秒,臺中市中區公園里自由路二段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.6829,24.140782,109a140
41,109年01月08日 07時43分00秒,彰化縣芳苑鄉路平村上林路路上段前0.0公尺,死亡1;受傷0,普通輕型-機車;普通重型-機車,120.35208100000001,23.899664,109a141
42,109年01月08日 12時22分45秒,苗栗縣後龍鎮埔頂里高鐵六路487巷8號旁,死亡1;受傷0,普通重型-機車,120.82448500000001,24.621105,109a142
