,發生時間,發生地點,死亡受傷人數,車種,經度,緯度,data_id
0,108年01月01日 01時28分00秒,高雄市岡山區成功路台上351路燈號前0.0公尺前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.301278,22.814121,108a10
1,108年01月01日 01時54分00秒,臺北市北投區竹子湖路前0.0公尺,死亡1;受傷0,普通重型-機車,121.560562,25.182451,108a11
2,108年01月01日 09時38分00秒,苗栗縣三灣鄉台3線 103公里北側向外側,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.955595,24.614313,108a12
3,108年01月01日 16時12分54秒,宜蘭縣大同鄉台7線 98公里200.0公尺處東側向路肩,死亡1;受傷1,自用-小客車;乘客-人,121.55706399999998,24.63992,108a13
4,108年01月01日 22時16分00秒,臺中市新社區協中里協中街前0.0公尺,死亡1;受傷0,普通重型-機車,120.800091,24.199220999999998,108a14
5,108年01月02日 01時52分00秒,桃園市中壢區中山東路3段口 / 桃園市中壢區龍慈路口,死亡1;受傷3,自用-小客車;自用-小客車;乘客-人;乘客-人,121.248605,24.944058,108a15
6,108年01月02日 03時17分00秒,臺北市大安區敦化南路2段 / 臺北市大安區信義路4段,死亡1;受傷0,普通重型-機車;自用-小客車,121.548796,25.033328,108a16
7,108年01月02日 08時23分00秒,高雄市大寮區里鳳屏二路 / 高雄市大寮區江山路,死亡1;受傷0,自用-小客車;普通重型-機車,120.404899,22.642779,108a17
8,108年01月02日 11時33分08秒,臺南市安定區國道1號 311公里南側向交流道,死亡1;受傷0,營業用-半聯結車,120.24258,23.11736,108a18
9,108年01月02日 18時01分00秒,新北市新店區新烏路3段310-1號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.547207,24.896801,108a19
10,108年01月02日 20時15分00秒,雲林縣元長鄉潭東村135794燈桿前,死亡1;受傷0,普通重型-機車,120.295649,23.640508999999998,108a110
11,108年01月03日 03時12分00秒,雲林縣斗南鎮將軍里溫厝角重光國小後方產業道路,死亡1;受傷0,普通重型-機車,120.514651,23.660047,108a111
12,108年01月03日 05時59分00秒,基隆市七堵區明德一路 / 基隆市七堵區自治北街,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車,121.712519,25.097169,108a112
13,108年01月03日 06時06分00秒,臺南市新化區全興里中山路882號,死亡1;受傷0,行人-人;遊覽車-大客車,120.290971,23.034979,108a113
14,108年01月03日 07時20分00秒,基隆市安樂區基金一路230號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車,121.704939,25.141623000000003,108a114
15,108年01月03日 16時48分00秒,高雄市大樹區三和路45號前0.0公尺,死亡1;受傷0,普通重型-機車,120.43658700000002,22.720617,108a115
16,108年01月03日 19時15分20秒,苗栗縣頭份市中正一路140巷口,死亡1;受傷0,自用-小客車;行人-人,120.92838200000001,24.683937,108a116
17,108年01月04日 05時52分54秒,桃園市中壢區中堅里中山東路3段401號前0.0公尺東側,死亡1;受傷0,自用-小客車;行人-人,121.252581,24.939473,108a117
18,108年01月04日 06時27分00秒,苗栗縣苗栗市至公路642號(魚市場)對向車道,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,120.807731,24.571506,108a118
19,108年01月04日 07時45分00秒,桃園市龍潭區竹龍路268號前0.0公尺北側,死亡1;受傷0,自用-小客車;普通重型-機車;普通重型-機車,121.200483,24.866642000000002,108a119
20,108年01月04日 09時45分00秒,宜蘭縣冬山鄉復興路東側 / 宜蘭縣冬山鄉新邦路東側,死亡1;受傷0,普通重型-機車;營業用-大貨車,121.74356,24.670718,108a120
21,108年01月04日 12時53分00秒,雲林縣西螺鎮公館里雲71鄉道近公館橋,死亡1;受傷0,普通重型-機車,120.456418,23.744646,108a121
22,108年01月04日 13時39分32秒,屏東縣竹田鄉竹田鄉六巷村六巷三路與東西十一路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.51179599999999,22.610478,108a122
23,108年01月04日 16時09分00秒,彰化縣埤頭鄉大湖村中央路 / 彰化縣埤頭鄉大湖村公館路,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.44820700000001,23.874717,108a123
24,108年01月04日 17時45分00秒,新北市三重區環河北路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,121.49082299999999,25.090759,108a124
25,108年01月04日 18時12分00秒,彰化縣和美鎮月眉里和港路 / 彰化縣和美鎮月眉里北辰路,死亡1;受傷0,拖車(架)-其他車;普通重型-機車,120.49126000000001,24.12367,108a125
26,108年01月05日 04時33分00秒,高雄市左營區自由四路27號前0.0公尺前,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,120.31354099999999,22.680332,108a126
27,108年01月05日 09時15分00秒,新北市三重區車路頭街139巷1弄前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.48463500000001,25.076559,108a127
28,108年01月05日 15時00分00秒,雲林縣古坑鄉舊草嶺公路草嶺79號電桿處,死亡1;受傷0,腳踏自行車-慢車,120.68859199999999,23.605456,108a128
29,108年01月05日 19時30分50秒,新竹市北區東大路三段465號北側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小客車,120.939624,24.838828,108a129
30,108年01月06日 03時20分43秒,基隆市七堵區國道1號 3公里600.0公尺處南側,死亡1;受傷1,自用-小客車;乘客-人,121.67906799999999,25.085872,108a130
31,108年01月06日 03時49分00秒,高雄市小港區大業南路54號前0.0公尺,死亡1;受傷0,普通重型-機車,120.3695,22.53465,108a131
32,108年01月06日 14時02分00秒,臺中市南屯區新生里環中路三段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-半聯結車;乘客-人,120.623173,24.150062,108a132
33,108年01月06日 15時03分00秒,高雄市鳥松區中正路293號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.3643,22.65963,108a133
34,108年01月06日 15時33分00秒,桃園市蘆竹區南崁路2段口 / 桃園市蘆竹區南工路口,死亡1;受傷0,普通重型-機車;民營公車-大客車,121.27783400000001,25.057476,108a134
35,108年01月06日 19時10分21秒,新竹縣竹東鎮中豐路3段307號,死亡1;受傷0,行人-人;自用-小客車,121.07935900000001,24.724161,108a135
36,108年01月07日 03時40分00秒,嘉義縣中埔鄉同仁村台3線291公里處,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.514799,23.413987,108a136
37,108年01月07日 09時37分54秒,臺南市七股區南25-1 7公里附近向路肩,死亡1;受傷0,普通重型-機車,120.093853,23.193591,108a137
38,108年01月07日 13時27分00秒,桃園市蘆竹區國道1號 50公里700.0公尺處南側向外側,死亡1;受傷0,自用-小貨車(含客、貨兩用);遊覽車-大客車,121.28996000000001,25.032446,108a138
39,108年01月07日 17時20分18秒,臺南市新市區社內里新港社大道口 / 臺南市新市區社內里南科聯絡道口,死亡1;受傷0,自用-小客車;普通重型-機車,120.279948,23.067928,108a139
40,108年01月07日 22時53分00秒,新北市淡水區淡金路4段 / 新北市淡水區淡金路4段,死亡1;受傷1,普通重型-機車;普通重型-機車,121.453243,25.227272,108a140
41,108年01月08日 03時10分00秒,苗栗縣公館鄉沿山道和大東路,死亡1;受傷0,自用-小客車;營業用-曳引車,120.83231599999999,24.500857,108a141
42,108年01月08日 07時00分00秒,高雄市橋頭區成功路12號前0.0公尺,死亡1;受傷0,普通重型-機車,120.30918100000001,22.761359,108a142
43,108年01月08日 07時01分00秒,雲林縣西螺鎮七座里產業道路(11068786號電錶處),死亡1;受傷0,自用-小客車;普通重型-機車,120.444405,23.7574,108a143
44,108年01月08日 18時26分00秒,臺北市中山區自強隧道前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車,121.54951799999999,25.085487,108a144
45,108年01月08日 19時05分00秒,嘉義市西區慶安里博愛路1段 / 嘉義市西區慶安里北興街,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.441645,23.483992,108a145
46,108年01月09日 06時03分00秒,高雄市仁武區鳳仁路263號前0.0公尺,死亡1;受傷1,自用-小客車;營業用-曳引車;乘客-人,120.34565500000001,22.700179000000002,108a146
47,108年01月09日 07時00分00秒,桃園市楊梅區中山南路口 / 桃園市楊梅區中山南路口,死亡1;受傷0,自用-大貨車;普通重型-機車,121.116293,24.897898,108a147
48,108年01月09日 07時14分08秒,臺南市仁德區文華路2段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車,120.23123700000001,22.944605,108a148
49,108年01月09日 17時05分00秒,臺南市麻豆區寮廍里市道176線寮子廍166-17號前0.0公尺口,死亡1;受傷0,自用-大貨車;營業用-大貨車,120.278326,23.189759,108a149
50,108年01月09日 21時40分00秒,臺北市士林區中山北路6段前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車;自用-小貨車(含客、貨兩用),121.524607,25.106269,108a150
51,108年01月09日 23時26分00秒,彰化縣社頭鄉湳雅村山腳路3段679號前0.0公尺,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;其他人-人,120.60215500000001,23.926323,108a151
52,108年01月09日 23時43分00秒,新北市瑞芳區四腳亭埔路 / 新北市瑞芳區臺62線道路,死亡1;受傷0,營業用-曳引車,121.77802700000001,25.102557,108a152
53,108年01月10日 04時13分00秒,高雄市大寮區188縣道萬大橋上橋號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.429474,22.59228,108a153
54,108年01月10日 08時14分00秒,桃園市桃園區中山路609號前0.0公尺北側,死亡1;受傷0,普通重型-機車;營業用-全聯結車;民營公車-大客車,121.294426,24.990906,108a154
55,108年01月10日 12時55分00秒,高雄市旗山區廣清路14-1號前0.0公尺前,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.5098,22.86255,108a155
56,108年01月10日 13時20分00秒,桃園市大園區環區西路545號號前0.0公尺附近,死亡1;受傷0,普通輕型-機車,121.193945,25.049263,108a156
57,108年01月10日 17時10分00秒,高雄市鳳山區善政街 / 高雄市鳳山區善志街,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.337079,22.60267,108a157
58,108年01月10日 18時38分00秒,臺北市內湖區環山路3段 / 臺北市內湖區環山路3段,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人;乘客-人,121.58008500000001,25.084712,108a158
59,108年01月10日 18時50分00秒,雲林縣斗六市明德北路一段398號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.548172,23.718308,108a159
60,108年01月11日 05時26分00秒,雲林縣西螺鎮國道1號 230公里800.0公尺處北側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車;其他人-人;營業用-大貨車,120.47278200000001,23.775474,108a160
61,108年01月11日 09時05分00秒,宜蘭縣蘇澳鎮蘇濱路口 / 宜蘭縣蘇澳鎮馬賽路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.834675,24.6259,108a161
62,108年01月11日 09時36分00秒,臺中市北屯區松竹里崇德路二段321號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.68606299999999,24.178273,108a162
63,108年01月11日 10時12分53秒,苗栗縣後龍鎮新港六路與豐富六路口,死亡1;受傷0,民營公車-大客車;普通重型-機車,120.820949,24.604039,108a163
64,108年01月11日 11時22分54秒,花蓮縣花蓮市民權路口 / 花蓮縣花蓮市民權八街口,死亡1;受傷0,普通重型-機車;自用-小客車,121.625749,23.987787,108a164
65,108年01月11日 15時59分00秒,臺中市清水區下湳里014鄰中山路446之08號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.58275400000001,24.283085,108a165
66,108年01月11日 16時35分00秒,彰化縣芳苑鄉台17線 50公里600.0公尺處南側向外側,死亡1;受傷1,普通重型-機車;乘客-人,120.341811,23.96576,108a166
67,108年01月11日 21時42分00秒,新北市泰山區泰林路 / 新北市泰山區新北大道,死亡1;受傷0,自用-小客車;普通重型-機車,121.429309,25.06335,108a167
68,108年01月11日 23時39分01秒,花蓮縣壽豐鄉中華路二段(和榮橋北端),死亡1;受傷0,普通重型-機車,121.52031799999999,23.880646,108a168
69,108年01月12日 00時00分00秒,新北市板橋區民生路2段前0.0公尺,死亡1;受傷0,普通重型-機車,121.47145,25.020326,108a169
70,108年01月12日 01時07分00秒,高雄市前鎮區瑞隆路 / 高雄市前鎮區永豐路,死亡1;受傷0,自用-小客車;行人-人,120.33358799999999,22.605671,108a170
71,108年01月12日 12時26分00秒,臺中市太平區宜佳里新平路二段125巷14號前0.0公尺,死亡1;受傷0,動力機械-其他車;其他人-人,120.714284,24.138817,108a171
72,108年01月12日 13時05分00秒,新北市三峽區復興路120號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.372332,24.93799,108a172
73,108年01月12日 14時19分00秒,新北市新店區國道3號 29公里100.0公尺處南側向內側,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;乘客-人,121.53936499999999,24.958751,108a173
74,108年01月12日 14時40分00秒,臺南市安平區安北路口 / 臺南市安平區州平路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.144498,22.996091,108a174
75,108年01月12日 19時09分00秒,新北市土城區中央路4段213號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.413873,24.955710999999997,108a175
76,108年01月12日 19時13分55秒,臺中市神岡區國道1號 168公里500.0公尺處北側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車,120.689749,24.244086,108a176
77,108年01月13日 02時33分00秒,嘉義縣水上鄉國道1號 272公里300.0公尺處南側向中線,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人,120.358876,23.431245,108a177
78,108年01月13日 05時26分37秒,苗栗縣苑裡鎮房裡里中山路與忠信街路口,死亡1;受傷0,自用-小客車;行人-人,120.64739399999999,24.434179999999998,108a178
79,108年01月13日 05時50分00秒,屏東縣枋寮鄉中山路與中華路口,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.596731,22.3819,108a179
80,108年01月13日 11時40分45秒,新竹縣寶山鄉科環路段,死亡1;受傷0,腳踏自行車-慢車,121.00833899999999,24.765242999999998,108a180
81,108年01月13日 14時20分00秒,臺南市南化區台20線 48公里600.0公尺處西側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.530795,23.076731,108a181
82,108年01月13日 16時04分00秒,桃園市新屋區東興路2段1788號前0.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.03468799999999,25.014291,108a182
83,108年01月13日 16時50分00秒,嘉義縣民雄鄉菁埔村菁埔1之10號,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.40823400000001,23.558945,108a183
84,108年01月13日 17時34分00秒,高雄市仁武區澄觀路2段 / 高雄市仁武區澄觀路2段,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.3642,22.71203,108a184
85,108年01月13日 18時05分10秒,南投縣中寮鄉龍南路77-4號,死亡1;受傷1,普通重型-機車;行人-人,120.774332,23.941834,108a185
86,108年01月13日 18時12分00秒,臺北市士林區延平北路5段 / 臺北市士林區葫蘆街,死亡1;受傷1,普通重型-機車;行人-人,121.51088100000001,25.080026,108a186
87,108年01月13日 19時30分22秒,宜蘭縣冬山鄉珍珠ㄧ路73號前0.0公尺附近,死亡1;受傷0,自用-小客車,121.783773,24.654037,108a187
88,108年01月14日 02時27分00秒,臺北市內湖區成功路5段前0.0公尺,死亡1;受傷0,自用-小客車,121.60720900000001,25.081066,108a188
89,108年01月14日 04時18分00秒,臺南市玉井區台3線 376公里300.0公尺處南側,死亡2;受傷1,自用-小客車;農耕用車(或機械)-其他車;乘客-人,120.480341,23.1045,108a189
90,108年01月14日 08時00分12秒,臺南市後壁區菁豐里區道南84線前0.0公尺口,死亡1;受傷0,普通重型-機車;自用-小客車,120.35643,23.382379,108a190
91,108年01月14日 09時10分00秒,臺中市梧棲區永寧里永興路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.542404,24.226379,108a191
92,108年01月14日 17時28分14秒,雲林縣麥寮鄉三盛村工業路590巷,死亡1;受傷1,自用-小客車;普通重型-機車,120.25289699999999,23.795116,108a192
93,108年01月14日 21時33分00秒,高雄市楠梓區大學十街 / 高雄市楠梓區高雄大學路,死亡1;受傷1,自用-小客車;普通重型-機車,120.28528,22.725537,108a193
94,108年01月15日 08時30分34秒,臺南市白河區秀祐里市道172線前0.0公尺西側,死亡1;受傷0,自用-小客車;營業用-大貨車,120.395981,23.347046,108a194
95,108年01月15日 12時42分00秒,臺北市北投區行義路154巷前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.528254,25.130503,108a195
96,108年01月15日 15時56分00秒,新北市板橋區板林路 / 新北市板橋區滿平街,死亡1;受傷1,普通輕型-機車;行人-人,121.42638999999998,24.990655,108a196
97,108年01月15日 17時00分00秒,新北市蘆洲區長榮路 / 新北市蘆洲區永康街,死亡1;受傷1,普通重型-機車;普通重型-機車,121.46377,25.082183999999998,108a197
98,108年01月15日 18時15分44秒,南投縣竹山鎮延和里集山路3段南側 / 南投縣竹山鎮延和里鹿山路東側,死亡1;受傷0,自用-小客車;普通輕型-機車,120.693307,23.761295999999998,108a198
99,108年01月15日 21時34分00秒,臺中市西屯區何仁里文心路三段119號前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車,120.65514499999999,24.168831,108a199
100,108年01月16日 05時18分00秒,臺中市大里區大里里大里路432號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人,120.67528999999999,24.09779,108a1100
101,108年01月16日 05時30分00秒,臺中市大安區中庄里南安路88號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-全聯結車,120.581465,24.350113,108a1101
102,108年01月16日 12時15分00秒,桃園市平鎮區台66線 19公里西側向中內,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.20505700000001,24.928901999999997,108a1102
103,108年01月16日 13時20分00秒,高雄市仁武區澄觀路1段文武0974燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.35926200000002,22.698507,108a1103
104,108年01月16日 19時12分08秒,桃園市大溪區瑞安路2段口 / 桃園市大溪區瑞安路2段口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小客車,121.281663,24.872455,108a1104
105,108年01月16日 20時15分00秒,臺中市豐原區豐田里豐原大道三段286巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.728986,24.237926,108a1105
106,108年01月16日 22時46分00秒,新北市淡水區民權路 / 新北市淡水區民權路,死亡1;受傷1,計程車-小客車;普通重型-機車,121.45923700000002,25.133558999999998,108a1106
107,108年01月17日 05時43分00秒,臺中市西區藍興里三民路一段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.668893,24.132051999999998,108a1107
108,108年01月17日 06時15分23秒,屏東縣枋寮鄉台17線 272公里700.0公尺處南側,死亡1;受傷0,租賃車-小客車,120.591008,22.391132,108a1108
109,108年01月17日 08時59分00秒,新北市板橋區光環路1段 / 新北市板橋區光中路,死亡1;受傷0,自用-小客車;行人-人,121.48396399999999,25.017654,108a1109
110,108年01月17日 11時35分00秒,宜蘭縣蘇澳鎮台2線 165公里54.0公尺處北側向中線,死亡1;受傷0,自用-小客車;自用-大貨車,121.85565700000001,24.60915,108a1110
111,108年01月17日 11時47分00秒,新竹縣竹北市華興街與華興街357巷口,死亡1;受傷1,普通重型-機車;乘客-人;自用-小客車,120.99881299999998,24.836371,108a1111
112,108年01月17日 18時06分00秒,高雄市橋頭區村南溝路2段仕和039電桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.30487,22.750168,108a1112
113,108年01月17日 19時27分00秒,臺中市后里區公館里三豐路五段716巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.73213999999999,24.341434,108a1113
114,108年01月17日 20時23分00秒,新北市板橋區環河西路5段 / 新北市板橋區板城路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.485541,25.022253,108a1114
115,108年01月18日 00時47分58秒,苗栗縣西湖鄉國道3號 136公里100.0公尺處南側,死亡1;受傷2,營業用-半聯結車;營業用-半聯結車;營業用-大貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.750308,24.553714000000003,108a1115
116,108年01月18日 01時16分50秒,南投縣竹山鎮集山路三段14號前,死亡1;受傷0,普通重型-機車,120.706305,23.767007,108a1116
117,108年01月18日 07時54分00秒,桃園市大溪區復興路1段口 / 桃園市大溪區頭寮一路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.28860300000001,24.841551000000003,108a1117
118,108年01月18日 08時56分00秒,臺北市大安區和平東路3段60號前0.0公尺,死亡1;受傷0,租賃車-小客車;營業用-曳引車;普通重型-機車,121.54909099999999,25.024376,108a1118
119,108年01月18日 11時30分00秒,基隆市安樂區湖海路二段編號68506燈桿處,死亡1;受傷0,普通重型-機車,121.720409,25.163811,108a1119
120,108年01月18日 12時11分00秒,雲林縣西螺鎮河南里興農西路與頂茄塘路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.435377,23.793404000000002,108a1120
121,108年01月18日 13時00分00秒,彰化縣芳苑鄉三成村小西路前0.0公尺,死亡1;受傷3,自用-小貨車(含客、貨兩用);自用-小客車;行人-人;乘客-人,120.31516,23.881973000000002,108a1121
122,108年01月18日 13時22分46秒,苗栗縣竹南鎮開元里開元路與開元路487巷口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.86761100000001,24.679311,108a1122
123,108年01月19日 03時10分52秒,臺南市東區中華東路1段口 / 臺南市東區小東路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.23478700000001,22.99834,108a1123
124,108年01月19日 17時36分05秒,雲林縣麥寮鄉六輕聯絡道,死亡1;受傷0,自用-小客車,120.25669199999999,23.818222,108a1124
125,108年01月19日 18時43分00秒,雲林縣林內鄉重興村重興185-6號前,死亡1;受傷0,自用-小客車;普通重型-機車,120.574767,23.767547,108a1125
126,108年01月19日 18時50分00秒,屏東縣萬丹鄉上村村和平西路口 / 屏東縣萬丹鄉上村村大圳路口,死亡2;受傷0,普通重型-機車;自用-小客車;乘客-人,120.47633,22.593272,108a1126
127,108年01月19日 20時35分00秒,彰化縣溪湖鎮東寮里彰水路4段60號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.480065,23.966727,108a1127
128,108年01月20日 04時27分00秒,高雄市左營區民族一路928之1號前0.0公尺前,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.317481,22.67201,108a1128
129,108年01月20日 05時53分00秒,臺中市西區忠明里臺灣大道前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.66375900000001,24.154618,108a1129
130,108年01月20日 11時45分00秒,彰化縣埔心鄉東門村中正路1段322號前0.0公尺前,死亡1;受傷1,行人-人;普通重型-機車,120.54346399999999,23.951447,108a1130
131,108年01月20日 14時05分00秒,花蓮縣秀林鄉台8線 167公里600.0公尺處東側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.488821,24.208907999999997,108a1131
132,108年01月20日 19時33分00秒,桃園市平鎮區建明路1段269巷前0.0公尺口,死亡1;受傷1,普通重型-機車;行人-人,121.238561,24.9174,108a1132
133,108年01月21日 07時33分00秒,臺中市南屯區中和里南光路前0.0公尺,死亡1;受傷0,電動輔助自行車-慢車;自用-小貨車(含客、貨兩用),120.625239,24.115308,108a1133
134,108年01月21日 11時09分00秒,彰化縣秀水鄉安東村彰水路1段340號前100.0公尺南側,死亡1;受傷1,普通重型-機車;行人-人,120.506099,24.042727,108a1134
135,108年01月21日 17時33分00秒,花蓮縣富里鄉81縣道1.4公里,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.227857,23.145266,108a1135
136,108年01月21日 19時50分00秒,澎湖縣馬公市縣204線 3公里970.0公尺處西側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),119.614248,23.550532999999998,108a1136
137,108年01月21日 20時36分00秒,高雄市三民區民族一路58號前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車,120.314493,22.641737,108a1137
138,108年01月21日 21時49分00秒,屏東縣麟洛鄉中山路66號前,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.532602,22.644398000000002,108a1138
139,108年01月22日 01時05分00秒,臺北市文山區羅斯福路5段50號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.53811499999999,25.007997,108a1139
140,108年01月22日 05時43分00秒,新北市三重區重新路4段 / 新北市三重區集美街,死亡1;受傷0,自用-小客車;行人-人,121.487227,25.057126,108a1140
141,108年01月23日 07時30分00秒,屏東縣萬巒鄉成德村保安路11-6號前,死亡1;受傷0,普通重型-機車,120.61405500000001,22.620445,108a1141
142,108年01月23日 08時21分23秒,臺南市北區中華北路1段西側 / 臺南市北區安明路觀海橋北側,死亡2;受傷0,營業用-大貨車;普通輕型-機車;乘客-人,120.18476899999999,23.011716,108a1142
143,108年01月23日 14時55分00秒,臺中市潭子區福仁里中山路前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.703441,24.200853,108a1143
144,108年01月23日 16時50分00秒,南投縣埔里鎮仁愛路25號前,死亡1;受傷1,普通重型-機車;普通重型-機車,120.964023,23.967875,108a1144
145,108年01月23日 17時11分10秒,嘉義縣太保市新埤里台18線道3.2公里與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.344306,23.479602,108a1145
146,108年01月23日 18時05分00秒,臺北市內湖區潭美街195號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.584134,25.055568,108a1146
147,108年01月23日 18時55分21秒,桃園市蘆竹區南竹路2段125號號前0.0公尺南側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.284277,25.041104999999998,108a1147
148,108年01月23日 19時48分00秒,新北市蘆洲區捷運機廠門口附近,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,121.45715600000001,25.091173,108a1148
149,108年01月23日 22時50分00秒,臺中市大里區大元里環中東路七段前0.0公尺,死亡3;受傷3,自用-小貨車(含客、貨兩用);計程車-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,120.687623,24.094668,108a1149
150,108年01月24日 02時14分00秒,臺中市西屯區何南里臺灣大道二段825號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.652594,24.160774,108a1150
151,108年01月24日 09時05分10秒,雲林縣口湖鄉過港村過港路124號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.189237,23.569558999999998,108a1151
152,108年01月24日 09時45分00秒,宜蘭縣南澳鄉台9丁線15公里900公尺,死亡1;受傷0,營業用-曳引車,121.841555,24.521639999999998,108a1152
153,108年01月24日 10時27分00秒,臺南市新化區山脚里省道臺19甲線頂山腳53之20號前0.0公尺口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.30908899999999,23.019013,108a1153
154,108年01月24日 10時56分53秒,桃園市中壢區月眉路2段176號前0.0公尺,死亡1;受傷0,普通重型-機車,121.18223400000001,25.006139,108a1154
155,108年01月24日 12時15分00秒,彰化縣埔鹽鄉瓦󿾨村光明路2段167-4號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.469026,24.010443,108a1155
156,108年01月24日 17時17分00秒,高雄市彌陀區光和路2-5號前0.0公尺前,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,120.245678,22.783876,108a1156
157,108年01月24日 19時52分00秒,雲林縣水林鄉雲164公路(水林27號電桿旁),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.237606,23.572009,108a1157
