,發生時間,發生地點,死亡受傷人數,車種,經度,緯度,data_id
1570,108年11月18日 07時24分00秒,新北市八里區龍米路2段146巷前0.0公尺,死亡1;受傷0,普通重型-機車,121.43781299999999,25.155853,108a11570
1571,108年11月18日 08時15分00秒,臺南市安南區安通路5段東側 / 臺南市安南區理安街南側,死亡1;受傷1,普通重型-機車;普通重型-機車,120.192757,23.030343,108a11571
1572,108年11月18日 17時21分19秒,苗栗縣後龍鎮海埔里苗126線與漁港路口,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.77170600000001,24.643985,108a11572
1573,108年11月18日 23時05分59秒,臺南市歸仁區南保里中山路3段口 / 臺南市歸仁區南保里中山七街,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.284253,22.967926000000002,108a11573
1574,108年11月19日 15時05分00秒,臺中市中區綠川里民族路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車,120.682229,24.137349,108a11574
1575,108年11月19日 17時20分22秒,嘉義縣中埔鄉和美村中山路5段84號前0.0公尺附近,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-大貨車,120.47775700000001,23.451567,108a11575
1576,108年11月20日 09時23分00秒,臺北市大同區民權西路 / 臺北市大同區蘭州街,死亡1;受傷0,租賃車-小客車;行人-人,121.51470900000001,25.062910000000002,108a11576
1577,108年11月20日 10時47分00秒,高雄市小港區中林路前 / 高雄市小港區鳳城街,死亡1;受傷0,普通重型-機車;自用-小客車,120.348903,22.523789999999998,108a11577
1578,108年11月20日 11時36分00秒,臺南市安平區安平路北側 / 臺南市安平區安平路東側,死亡1;受傷1,電動輔助自行車-慢車;普通重型-機車,120.166829,22.999379,108a11578
1579,108年11月20日 15時58分00秒,嘉義縣中埔鄉石硦村台3線306.2公里,死亡1;受傷0,普通重型-機車,120.539299,23.380677,108a11579
1580,108年11月20日 18時02分00秒,臺中市新社區協成里華豐街137號前0.0公尺,死亡1;受傷0,普通重型-機車,120.80796799999999,24.211214000000002,108a11580
1581,108年11月20日 19時47分26秒,新竹縣湖口鄉中平路2段421號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.07829199999999,24.891161999999998,108a11581
1582,108年11月20日 23時35分00秒,新北市泰山區泰林路2段 / 新北市泰山區福泰街,死亡1;受傷0,行人-人;自用-小客車,121.42581399999999,25.064194,108a11582
1583,108年11月20日 23時40分00秒,新北市深坑區北深路1段185-前號前0.0公尺,死亡1;受傷1,租賃車-小客車;普通重型-機車,121.632139,25.010395000000003,108a11583
1584,108年11月21日 00時00分00秒,臺南市新營區太北里太子宮142-34號前0.0公尺,死亡1;受傷0,普通重型-機車,120.27365900000001,23.294722,108a11584
1585,108年11月21日 08時00分00秒,雲林縣崙背鄉豐榮村豐榮32之17號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.311697,23.792513,108a11585
1586,108年11月21日 11時27分00秒,臺南市玉井區台3線 377公里南側向外側,死亡2;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.48218600000001,23.097396,108a11586
1587,108年11月21日 14時08分56秒,苗栗縣後龍鎮台1線109公里處往北機車道,死亡1;受傷1,普通重型-機車;普通重型-機車,120.808462,24.621031,108a11587
